Symbol,Date,Close
AAPL,7/14/2020,97.06
AAPL,7/15/2020,97.73
AAPL,7/16/2020,96.52
AAPL,7/17/2020,96.33
AAPL,7/20/2020,98.36
AAPL,7/21/2020,97
AAPL,7/22/2020,97.27
AAPL,7/23/2020,92.85
AAPL,7/24/2020,92.62
AAPL,7/27/2020,94.81
AAPL,7/28/2020,93.25
AAPL,7/29/2020,95.04
AAPL,7/30/2020,96.19
AAPL,7/31/2020,106.26
AAPL,8/3/2020,108.94
AAPL,8/4/2020,109.67
AAPL,8/5/2020,110.06
AAPL,8/6/2020,113.9
AAPL,8/7/2020,111.11
AAPL,8/10/2020,112.73
AAPL,8/11/2020,109.38
AAPL,8/12/2020,113.01
AAPL,8/13/2020,115.01
AAPL,8/14/2020,114.91
AAPL,8/17/2020,114.61
AAPL,8/18/2020,115.56
AAPL,8/19/2020,115.71
AAPL,8/20/2020,118.28
AAPL,8/21/2020,124.37
AAPL,8/24/2020,125.86
AAPL,8/25/2020,124.83
AAPL,8/26/2020,126.52
AAPL,8/27/2020,125.01
AAPL,8/28/2020,124.81
AAPL,8/31/2020,129.04
AAPL,9/1/2020,134.18
AAPL,9/2/2020,131.4
AAPL,9/3/2020,120.88
AAPL,9/4/2020,120.96
AAPL,9/8/2020,112.82
AAPL,9/9/2020,117.32
AAPL,9/10/2020,113.49
AAPL,9/11/2020,112
AAPL,9/14/2020,115.36
AAPL,9/15/2020,115.54
AAPL,9/16/2020,112.13
AAPL,9/17/2020,110.34
AAPL,9/18/2020,106.84
AAPL,9/21/2020,110.08
AAPL,9/22/2020,111.81
AAPL,9/23/2020,107.12
AAPL,9/24/2020,108.22
AAPL,9/25/2020,112.28
AAPL,9/28/2020,114.96
AAPL,9/29/2020,114.09
AAPL,9/30/2020,115.81
AAPL,10/1/2020,116.79
AAPL,10/2/2020,113.02
AAPL,10/5/2020,116.5
AAPL,10/6/2020,113.16
AAPL,10/7/2020,115.08
AAPL,10/8/2020,114.97
AAPL,10/9/2020,116.97
AAPL,10/12/2020,124.4
AAPL,10/13/2020,121.1
AAPL,10/14/2020,121.19
AAPL,10/15/2020,120.71
AAPL,10/16/2020,119.02
AAPL,10/19/2020,115.98
AAPL,10/20/2020,117.51
AAPL,10/21/2020,116.87
AAPL,10/22/2020,115.75
AAPL,10/23/2020,115.04
AAPL,10/26/2020,115.05
AAPL,10/27/2020,116.6
AAPL,10/28/2020,111.2
AAPL,10/29/2020,115.32
AAPL,10/30/2020,108.86
AAPL,11/2/2020,108.77
AAPL,11/3/2020,110.44
AAPL,11/4/2020,114.95
AAPL,11/5/2020,119.03
AAPL,11/6/2020,118.69
AAPL,11/9/2020,116.32
AAPL,11/10/2020,115.97
AAPL,11/11/2020,119.49
AAPL,11/12/2020,119.21
AAPL,11/13/2020,119.26
AAPL,11/16/2020,120.3
AAPL,11/17/2020,119.39
AAPL,11/18/2020,118.03
AAPL,11/19/2020,118.64
AAPL,11/20/2020,117.34
AAPL,11/23/2020,113.85
AAPL,11/24/2020,115.17
AAPL,11/25/2020,116.03
AAPL,11/27/2020,116.59
AAPL,11/30/2020,119.05
AAPL,12/1/2020,122.72
AAPL,12/2/2020,123.08
AAPL,12/3/2020,122.94
AAPL,12/4/2020,122.25
AAPL,12/7/2020,123.75
AAPL,12/8/2020,124.38
AAPL,12/9/2020,121.78
AAPL,12/10/2020,123.24
AAPL,12/11/2020,122.41
AAPL,12/14/2020,121.78
AAPL,12/15/2020,127.88
AAPL,12/16/2020,127.81
AAPL,12/17/2020,128.7
AAPL,12/18/2020,126.66
AAPL,12/21/2020,128.23
AAPL,12/22/2020,131.88
AAPL,12/23/2020,130.96
AAPL,12/24/2020,131.97
AAPL,12/28/2020,136.69
AAPL,12/29/2020,134.87
AAPL,12/30/2020,133.72
AAPL,12/31/2020,132.69
AAPL,1/4/2021,129.41
AAPL,1/5/2021,131.01
AAPL,1/6/2021,126.6
AAPL,1/7/2021,130.92
AAPL,1/8/2021,132.05
AAPL,1/11/2021,128.98
AAPL,1/12/2021,128.8
AAPL,1/13/2021,130.89
AAPL,1/14/2021,128.91
AAPL,1/15/2021,127.14
AAPL,1/19/2021,127.83
AAPL,1/20/2021,132.03
AAPL,1/21/2021,136.87
AAPL,1/22/2021,139.07
AAPL,1/25/2021,142.92
AAPL,1/26/2021,143.16
AAPL,1/27/2021,142.06
AAPL,1/28/2021,137.09
AAPL,1/29/2021,131.96
AAPL,2/1/2021,134.14
AAPL,2/2/2021,134.99
AAPL,2/3/2021,133.94
AAPL,2/4/2021,137.39
AAPL,2/5/2021,136.76
AAPL,2/8/2021,136.91
AAPL,2/9/2021,136.01
AAPL,2/10/2021,135.39
AAPL,2/11/2021,135.13
AAPL,2/12/2021,135.37
AAPL,2/16/2021,133.19
AAPL,2/17/2021,130.84
AAPL,2/18/2021,129.71
AAPL,2/19/2021,129.87
AAPL,2/22/2021,126
AAPL,2/23/2021,125.86
AAPL,2/24/2021,125.35
AAPL,2/25/2021,120.99
AAPL,2/26/2021,121.26
AAPL,3/1/2021,127.79
AAPL,3/2/2021,125.12
AAPL,3/3/2021,122.06
AAPL,3/4/2021,120.13
AAPL,3/5/2021,121.42
AAPL,3/8/2021,116.36
AAPL,3/9/2021,121.09
AAPL,3/10/2021,119.98
AAPL,3/11/2021,121.96
AAPL,3/12/2021,121.03
AAPL,3/15/2021,123.99
AAPL,3/16/2021,125.57
AAPL,3/17/2021,124.76
AAPL,3/18/2021,120.53
AAPL,3/19/2021,119.99
AAPL,3/22/2021,123.39
AAPL,3/23/2021,122.54
AAPL,3/24/2021,120.09
AAPL,3/25/2021,120.59
AAPL,3/26/2021,121.21
AAPL,3/29/2021,121.39
AAPL,3/30/2021,119.9
AAPL,3/31/2021,122.15
AAPL,4/1/2021,123
AAPL,4/5/2021,125.9
AAPL,4/6/2021,126.21
AAPL,4/7/2021,127.9
AAPL,4/8/2021,130.36
AAPL,4/9/2021,133
AAPL,4/12/2021,131.24
AAPL,4/13/2021,134.43
AAPL,4/14/2021,132.03
AAPL,4/15/2021,134.5
AAPL,4/16/2021,134.16
AAPL,4/19/2021,134.84
AAPL,4/20/2021,133.11
AAPL,4/21/2021,133.5
AAPL,4/22/2021,131.94
AAPL,4/23/2021,134.32
AAPL,4/26/2021,134.72
AAPL,4/27/2021,134.39
AAPL,4/28/2021,133.58
AAPL,4/29/2021,133.48
AAPL,4/30/2021,131.46
AAPL,5/3/2021,132.54
AAPL,5/4/2021,127.85
AAPL,5/5/2021,128.1
AAPL,5/6/2021,129.74
AAPL,5/7/2021,130.21
AAPL,5/10/2021,126.85
AAPL,5/11/2021,125.91
AAPL,5/12/2021,122.77
AAPL,5/13/2021,124.97
AAPL,5/14/2021,127.45
AAPL,5/17/2021,126.27
AAPL,5/18/2021,124.85
AAPL,5/19/2021,124.69
AAPL,5/20/2021,127.31
AAPL,5/21/2021,125.43
AAPL,5/24/2021,127.1
AAPL,5/25/2021,126.9
AAPL,5/26/2021,126.85
AAPL,5/27/2021,125.28
AAPL,5/28/2021,124.61
AAPL,6/1/2021,124.28
AAPL,6/2/2021,125.06
AAPL,6/3/2021,123.54
AAPL,6/4/2021,125.89
AAPL,6/7/2021,125.9
AAPL,6/8/2021,126.74
AAPL,6/9/2021,127.13
AAPL,6/10/2021,126.11
AAPL,6/11/2021,127.35
AAPL,6/14/2021,130.48
AAPL,6/15/2021,129.64
AAPL,6/16/2021,130.15
AAPL,6/17/2021,131.79
AAPL,6/18/2021,130.46
AAPL,6/21/2021,132.3
AAPL,6/22/2021,133.98
AAPL,6/23/2021,133.7
AAPL,6/24/2021,133.41
AAPL,6/25/2021,133.11
AAPL,6/28/2021,134.78
AAPL,6/29/2021,136.33
AAPL,6/30/2021,136.96
AAPL,7/1/2021,137.27
AAPL,7/2/2021,139.96
AAPL,7/6/2021,142.02
AAPL,7/7/2021,144.57
AAPL,7/8/2021,143.24
AAPL,7/9/2021,145.11
AAPL,7/12/2021,144.5
AAPL,7/13/2021,145.64
AAPL,7/14/2021,149.15
AAPL,7/15/2021,148.48
AAPL,7/16/2021,146.39
AAPL,7/19/2021,142.45
AAPL,7/20/2021,146.15
AAPL,7/21/2021,145.4
AAPL,7/22/2021,146.8
AAPL,7/23/2021,148.56
